type,form,norm,lexeme,eBL,I_IV,A_D,Female(f),Alt_lex
word,áb ša-ra-ni,ab šarrānē,ab šarrānē,https://www.ebl.lmu.de/dictionary?word=ab šarrānē,,,,
word,áb ša-ra-nim,ab šarrānem,ab šarrānē,https://www.ebl.lmu.de/dictionary?word=ab šarrānē,,,,
word,áb-ša-ra-nim,ab šarrānem,ab šarrānē,https://www.ebl.lmu.de/dictionary?word=ab šarrānē,,,,
word,áb-ša-ra-ni,ab šarrānē,ab šarrānē,https://www.ebl.lmu.de/dictionary?word=ab šarrānē,,,,
word,áb-ša-ra-ni₇,ab šarrānē,ab šarrānē,https://www.ebl.lmu.de/dictionary?word=ab šarrānē,,,,
word,áb-ša-ra-NIM,ab šarrānem,ab šarrānē,https://www.ebl.lmu.de/dictionary?word=ab šarrānē,,,,
PN,a-ba-a-a,Abā,Abā,https://www.ebl.lmu.de/dictionary?word=Abā,,,,
PN,a-ba-a,Abā,Abā,https://www.ebl.lmu.de/dictionary?word=Abā,,,,
PN,a-ba,Abā,Abā,https://www.ebl.lmu.de/dictionary?word=Abā,,,,
PN,ab-ba,Abā,Abā,https://www.ebl.lmu.de/dictionary?word=Abā,,,,
PN,a-ba-a-a-ma,Abāma,Abā,https://www.ebl.lmu.de/dictionary?word=Abā,,,,
PN,a-ba-a-ma,Abāma,Abā,https://www.ebl.lmu.de/dictionary?word=Abā,,,,
PN,a-BA,Abā,Abā,https://www.ebl.lmu.de/dictionary?word=Abā,,,,
PN,a-ba-a-a-ḫu,Abā-aḫu,Abā-aḫu,https://www.ebl.lmu.de/dictionary?word=Abā-aḫu,,,,
PN,a-ba-a-ḫi,Aba-aḫī,Abā-aḫu,https://www.ebl.lmu.de/dictionary?word=Abā-aḫu,,,,
PN,a-ba-a-a-ḫa-ú,Abā-aḫu,Abā-aḫu,https://www.ebl.lmu.de/dictionary?word=Abā-aḫu,,,,
PN,a-bu-a-ḫi,Abu-aḫi,Abā-aḫu,https://www.ebl.lmu.de/dictionary?word=Abā-aḫu,,,,
PN,a-ba-el,Aba-il,Abā-il,https://www.ebl.lmu.de/dictionary?word=Abā-il,,,,
PN,a-ba-il₅,Aba-il,Abā-il,https://www.ebl.lmu.de/dictionary?word=Abā-il,,,,
PN,a-ba-DINGIR,Aba-il,Abā-il,https://www.ebl.lmu.de/dictionary?word=Abā-il,,,,
PN,a-ba-ba,Ababā,Ababa,https://www.ebl.lmu.de/dictionary?word=Ababa,,,,
PN,a-pa-pa,Ababā,Ababa,https://www.ebl.lmu.de/dictionary?word=Ababa,,,,
PN,a-pá-pá,Ababā,Ababa,https://www.ebl.lmu.de/dictionary?word=Ababa,,,,
PN,a-ba-ba-a,Ababā,Ababa,https://www.ebl.lmu.de/dictionary?word=Ababa,,,,
PN,a-ba-ba-a-a,Ababā,Ababa,https://www.ebl.lmu.de/dictionary?word=Ababa,,,,
PN,a-ba-ba-ma,Ababa-ma,Ababa,https://www.ebl.lmu.de/dictionary?word=Ababa,,,,
PN,a-ba-ba-a-ma,Ababa-ma,Ababa,https://www.ebl.lmu.de/dictionary?word=Ababa,,,,
PN,a-ba-ba-a-a-ma,Ababa-ma,Ababa,https://www.ebl.lmu.de/dictionary?word=Ababa,,,,
PN,a-ba-a-ba,Ababā,Ababa,https://www.ebl.lmu.de/dictionary?word=Ababa,,,,
PN,a-ba-ba-a-a-i,Ababayai,Ababayai,https://www.ebl.lmu.de/dictionary?word=Ababayai,,,,
word,a-ba-kam,abākam,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,a-ba-ki-im,abākim,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,a-ba-ak,abbak,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,a-bá-ak,abbak,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,a-ba-kà-kum,abbakakkum,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,a-ba-kà-am,abbakam,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,a-bi-ik,abik,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
word,a-bí-ik,abik,abāku,https://www.ebl.lmu.de/dictionary?word=abāku,,,,
